Protein,Protein Description,Protein Gene,A01-511-84A-C4-001 Sum Normalized Area,A02-Hoof17-002 Sum Normalized Area,A03-304-75B-B4-003 Sum Normalized Area,A04-450-08A-C7-004 Sum Normalized Area,A05-051-21B-D6-005 Sum Normalized Area,A06-510-08B-C8-006 Sum Normalized Area,A07-912-46A-A9-007 Sum Normalized Area,A08-492-84B-B8-008 Sum Normalized Area,A09-159-21A-D7-009 Sum Normalized Area,A10-990-46B-A8-010 Sum Normalized Area,A11-EISAIPool-011 Sum Normalized Area,A12-278-75A-B6-012 Sum Normalized Area,B01-041-40B-B1-013 Sum Normalized Area,B02-934-43A-A2-014 Sum Normalized Area,B03-959-40A-A5-015 Sum Normalized Area,B04-EISAIPool-016 Sum Normalized Area,B05-334-76A-B9-017 Sum Normalized Area,B06-GWPool-018 Sum Normalized Area,B07-168-16A-D3-019 Sum Normalized Area,B08-009-43B-A3-020 Sum Normalized Area,B09-316-76B-C3-021 Sum Normalized Area,B10-062-16B-D5-022 Sum Normalized Area,B11-Hoof17-023 Sum Normalized Area,B12-GWPool-024 Sum Normalized Area,C01-027-37B-B3-025 Sum Normalized Area,C02-907-45A-B2-026 Sum Normalized Area,C03-EISAIPool-027 Sum Normalized Area,C04-155-17A-D1-028 Sum Normalized Area,C05-166-20A-D8-029 Sum Normalized Area,C06-249-64B-B5-030 Sum Normalized Area,C07-985-45B-A1-031 Sum Normalized Area,C08-Hoof17-032 Sum Normalized Area,C09-956-37A-A6-033 Sum Normalized Area,C10-216-64A-C2-034 Sum Normalized Area,C11-056-20B-D9-035 Sum Normalized Area,C12-046-17B-C9-036 Sum Normalized Area,D01-GWPool-037 Sum Normalized Area,D02-039-25B-D2-038 Sum Normalized Area,D03-043-24B-C5-039 Sum Normalized Area,D04-084-86A-C1-040 Sum Normalized Area,D05-EISAIPool-041 Sum Normalized Area,D06-152-24A-D4-042 Sum Normalized Area,D07-099-86B-B7-043 Sum Normalized Area,D08-880-56A-A7-044 Sum Normalized Area,D09-GWPool-045 Sum Normalized Area,D10-143-25A-C6-046 Sum Normalized Area,D11-970-56B-A4-047 Sum Normalized Area,D12-Hoof17-048 Sum Normalized Area
sp|P55957|BID_HUMAN,BH3-interacting domain death agonist OS=Homo sapiens OX=9606 GN=BID PE=1 SV=1,BID,5.1183E+4,1.3461E+5,1.2847E+5,7.9876E+4,9.8041E+4,1.0195E+5,1.0190E+5,5.9483E+4,1.2786E+5,7.0075E+4,8.4035E+4,9.2555E+4,8.4121E+4,1.2236E+5,8.0155E+4,9.6833E+4,8.6101E+4,8.3888E+4,7.3929E+4,8.7725E+4,8.1337E+4,1.0240E+5,1.6246E+5,7.7700E+4,8.4859E+4,6.5188E+4,6.6882E+4,1.2013E+5,6.7007E+4,1.5307E+5,7.4609E+4,1.6212E+5,7.4729E+4,1.6005E+5,7.9216E+4,7.5385E+4,8.4051E+4,8.2281E+4,7.0884E+4,7.9631E+4,8.2069E+4,3.9432E+4,7.9673E+4,4.2588E+4,9.1125E+4,8.7865E+4,9.9775E+4,1.8477E+5
sp|Q15031|SYLM_HUMAN,"Leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2",LARS2,4.9561E+3,4.9207E+3,3.0360E+3,5.3441E+3,9.1108E+3,5.2637E+3,1.4179E+3,3.5884E+3,3.9118E+3,6.4790E+3,6.6403E+3,2.7983E+3,2.3963E+3,3.7374E+3,5.2150E+3,4.2895E+3,4.1902E+3,9.2263E+3,2.8126E+3,3.6288E+3,6.0192E+3,3.7506E+3,4.6154E+3,1.5036E+4,3.7599E+3,5.7131E+3,8.9348E+3,2.6091E+3,2.9204E+3,3.7528E+3,8.6303E+3,3.7227E+3,2.6638E+3,3.1045E+3,1.1549E+3,3.8736E+3,9.9875E+3,9.4220E+2,5.0976E+3,2.6354E+3,4.2575E+3,2.5831E+3,1.8566E+3,1.7785E+3,1.1272E+4,2.3530E+3,4.9293E+2,3.2346E+3
sp|Q15084|PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6,1.1302E+6,1.0662E+6,1.0703E+6,8.2410E+5,9.4099E+5,1.0464E+6,9.0504E+5,8.5810E+5,1.1946E+6,6.3698E+5,1.0259E+6,1.1749E+6,5.3698E+5,9.2945E+5,8.2138E+5,9.2667E+5,8.6548E+5,4.6456E+5,7.9757E+5,7.8928E+5,1.2834E+6,8.7742E+5,1.0183E+6,4.9465E+5,7.0839E+5,5.3306E+5,6.7926E+5,1.2345E+6,9.8067E+5,1.5217E+6,8.2814E+5,1.1640E+6,7.4610E+5,1.2604E+6,8.7251E+5,9.8723E+5,3.3183E+5,9.0213E+5,9.2531E+5,7.0204E+5,7.4583E+5,7.9565E+5,6.5661E+5,7.8982E+5,4.6768E+5,1.2421E+6,1.3355E+6,1.0782E+6
sp|Q15661|TRYB1_HUMAN / sp|P20231|TRYB2_HUMAN,"Tryptase alpha/beta-1 OS=Homo sapiens OX=9606 GN=TPSAB1 PE=1 SV=1
Tryptase beta-2 OS=Homo sapiens OX=9606 GN=TPSB2 PE=1 SV=3",TPSAB1 / TPSB2,7.3544E+3,3.4508E+3,2.7906E+3,3.4289E+3,2.6945E+3,6.0922E+3,2.0161E+3,6.3802E+3,1.4211E+3,1.0785E+3,2.9712E+3,1.8300E+3,4.3856E+3,1.9134E+3,1.7989E+3,2.1361E+3,1.5985E+3,3.5604E+3,4.5518E+3,3.9855E+3,1.5221E+3,5.3390E+3,3.6715E+3,3.9066E+3,7.5129E+3,8.4972E+2,3.3271E+3,2.0763E+3,4.9035E+3,3.1225E+3,2.4884E+3,2.5849E+3,5.7890E+3,7.4322E+2,4.2696E+3,1.7171E+3,6.7196E+3,4.1946E+3,1.9935E+3,1.6783E+3,2.1695E+3,1.1808E+3,2.4403E+3,3.1156E+3,4.9041E+3,1.9706E+3,2.5722E+3,3.8899E+3
sp|Q5THK1|PR14L_HUMAN,Protein PRR14L OS=Homo sapiens OX=9606 GN=PRR14L PE=1 SV=1,PRR14L,9.0187E+3,6.2268E+3,8.8928E+3,4.0811E+3,1.3217E+4,8.4877E+3,1.2915E+4,9.0750E+3,7.2753E+3,7.2574E+3,9.3340E+3,5.7568E+3,1.3439E+4,8.0355E+3,8.7947E+3,5.6292E+3,1.3744E+4,7.4846E+2,8.2355E+3,8.1804E+3,1.2600E+4,1.0971E+4,3.9391E+3,3.3690E+3,7.6859E+3,7.8263E+3,9.0588E+3,6.2458E+3,1.4657E+4,1.6133E+4,4.0898E+3,7.8802E+3,6.9311E+3,1.1223E+4,1.3910E+4,1.1190E+4,1.3191E+3,1.1369E+4,2.8452E+3,5.8998E+3,9.7831E+3,2.0873E+3,5.2441E+3,1.1567E+4,2.2018E+3,8.3412E+3,8.4384E+3,5.4597E+3
sp|Q7Z5N4|SDK1_HUMAN,Protein sidekick-1 OS=Homo sapiens OX=9606 GN=SDK1 PE=1 SV=3,SDK1,9.4568E+3,1.1566E+4,1.8278E+4,6.9756E+3,8.3429E+3,1.1153E+4,9.2829E+3,1.4648E+4,1.8343E+4,7.8316E+3,1.2686E+4,2.1743E+4,1.3231E+4,1.9492E+4,1.1478E+4,1.0277E+4,1.9157E+4,4.7300E+3,1.6790E+4,1.4126E+4,2.1036E+4,2.6443E+3,1.6348E+4,4.1422E+3,1.3359E+4,1.4892E+4,7.8593E+3,1.2584E+4,8.7802E+3,8.6374E+3,1.0714E+4,2.8915E+4,1.5121E+4,2.2733E+4,6.0161E+3,1.5268E+4,4.2013E+3,2.1493E+4,1.1498E+4,4.4879E+3,9.2376E+3,1.0005E+4,5.0063E+3,6.5169E+3,5.8234E+3,2.1923E+4,1.2991E+4,2.3354E+4
sp|Q92945|FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,KHSRP,1.8322E+3,6.1160E+3,1.0027E+3,1.2964E+3,3.7080E+3,2.8055E+3,1.2180E+3,2.0960E+3,1.8492E+3,5.0894E+2,1.5543E+3,1.7831E+3,1.5085E+3,1.8859E+4,1.2556E+3,5.9468E+2,6.0919E+2,1.9084E+3,1.0935E+3,9.1252E+2,1.7292E+3,1.1870E+3,1.4247E+4,3.1385E+3,1.1015E+3,1.8198E+3,2.2411E+3,1.9211E+3,1.6656E+3,1.8543E+2,1.0174E+3,1.2030E+4,1.0096E+3,1.1437E+3,2.3040E+3,2.4669E+3,1.6864E+3,2.2288E+3,4.2451E+3,1.2147E+3,1.5849E+3,3.0923E+3,1.6697E+3,3.7730E+3,7.7574E+2,3.0630E+3,2.3167E+3,2.2126E+4
sp|Q96D15|RCN3_HUMAN,Reticulocalbin-3 OS=Homo sapiens OX=9606 GN=RCN3 PE=1 SV=1,RCN3,3.8215E+4,1.7256E+4,3.1083E+4,3.4358E+4,5.1217E+4,4.1939E+4,4.6024E+4,3.8554E+4,3.6283E+4,3.6702E+4,5.3576E+4,5.4209E+4,2.0858E+4,3.5493E+4,4.4498E+4,3.6908E+4,4.3133E+4,1.1587E+4,2.5402E+4,3.0556E+4,2.4621E+4,3.0204E+4,3.0162E+4,1.8525E+4,3.9045E+4,2.4560E+4,4.8103E+4,4.0658E+4,4.7579E+4,4.5929E+4,3.8115E+4,4.2429E+4,3.9358E+4,2.4792E+4,6.0126E+4,3.2572E+4,1.0463E+4,4.4230E+4,4.6071E+4,4.3630E+4,3.3414E+4,4.7257E+4,6.2824E+4,4.2061E+4,1.3645E+4,5.9173E+4,5.6521E+4,3.8621E+4
sp|Q9Y512|SAM50_HUMAN,Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3,SAMM50,3.7777E+3,2.2866E+3,1.5494E+3,2.1601E+2,7.2448E+2,5.3814E+2,1.0684E+3,0.0000E+0,4.8011E+2,5.4289E+2,4.1316E+2,1.7343E+2,0.0000E+0,4.0322E+2,5.2387E+2,0.0000E+0,2.9265E+2,0.0000E+0,1.3488E+2,0.0000E+0,0.0000E+0,1.4203E+2,0.0000E+0,2.0081E+2,9.6017E+2,0.0000E+0,0.0000E+0,1.3661E+2,9.1544E+1,1.6285E+2,2.5054E+2,5.5122E+2,0.0000E+0,2.5345E+2,4.8183E+2,7.4187E+2,2.5348E+2,2.0423E+2,0.0000E+0,0.0000E+0,0.0000E+0,4.4330E+1,0.0000E+0,0.0000E+0,1.2365E+2,2.0854E+2,0.0000E+0,1.5169E+2
sp|O00451|GFRA2_HUMAN,GDNF family receptor alpha-2 OS=Homo sapiens OX=9606 GN=GFRA2 PE=1 SV=2,GFRA2,5.2458E+5,8.3792E+5,7.4202E+5,6.0480E+5,8.4931E+5,9.7094E+5,1.0551E+6,5.3270E+5,8.9876E+5,8.4573E+5,8.5872E+5,8.3864E+5,7.3637E+5,9.0129E+5,1.0213E+6,7.5192E+5,6.4501E+5,4.8311E+5,8.0622E+5,1.1579E+6,8.0886E+5,1.0541E+6,1.1571E+6,5.5057E+5,4.0599E+5,8.1720E+5,7.9559E+5,7.2531E+5,7.9733E+5,1.5424E+6,6.4089E+5,1.4017E+6,5.9254E+5,1.3779E+6,8.5749E+5,7.0650E+5,4.1646E+5,9.5937E+5,4.7444E+5,5.4690E+5,7.0106E+5,4.5209E+5,5.6394E+5,7.2123E+5,5.0898E+5,1.3324E+6,1.0905E+6,1.2214E+6
sp|O43598|DNPH1_HUMAN,5-hydroxymethyl-dUMP N-hydrolase OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1,DNPH1,4.9742E+4,7.3291E+4,6.2903E+4,3.6656E+4,2.0796E+4,6.2825E+4,4.7135E+4,6.4326E+4,1.9900E+4,4.0740E+4,4.4431E+4,5.8587E+4,2.1052E+4,5.3085E+4,5.1146E+4,4.7435E+4,4.9700E+4,3.9435E+4,3.4968E+4,3.3633E+4,3.3590E+4,5.1228E+4,9.0641E+4,4.0498E+4,4.2323E+4,3.9309E+4,3.8002E+4,4.7840E+4,3.9165E+4,4.5769E+4,3.8459E+4,6.6438E+4,3.8253E+4,5.5658E+4,4.7130E+4,4.4196E+4,3.2968E+4,5.3605E+4,4.6871E+4,3.0245E+4,3.4527E+4,3.1125E+4,3.1895E+4,3.0886E+4,4.1714E+4,4.3136E+4,7.6194E+4,8.9451E+4
sp|O94769|ECM2_HUMAN,Extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=ECM2 PE=1 SV=1,ECM2,2.0703E+7,1.1537E+7,2.8942E+7,1.8705E+7,1.9879E+7,2.7283E+7,2.9726E+7,2.4377E+7,2.5570E+7,2.3046E+7,2.3255E+7,3.5932E+7,2.4678E+7,2.9515E+7,3.0593E+7,2.5515E+7,2.5298E+7,1.0722E+6,2.2631E+7,3.1513E+7,2.9773E+7,2.6529E+7,1.0941E+7,1.2855E+6,4.0055E+7,2.3035E+7,2.6304E+7,3.0830E+7,3.3161E+7,2.8722E+7,2.4357E+7,1.2199E+7,3.8137E+7,2.6365E+7,3.1376E+7,2.5942E+7,1.2524E+6,3.2144E+7,2.4749E+7,2.4156E+7,1.8707E+7,1.7693E+7,1.7157E+7,2.3591E+7,1.2400E+6,3.0503E+7,3.6513E+7,1.2889E+7
sp|P04275|VWF_HUMAN,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,VWF,2.0907E+6,8.2617E+6,2.5612E+6,1.9206E+6,2.9749E+6,2.7113E+6,1.6930E+6,1.7807E+6,3.0244E+6,1.4387E+6,3.0700E+6,2.5494E+6,2.0954E+7,3.0271E+6,2.9922E+6,2.6559E+6,1.9543E+6,8.5044E+6,1.8364E+6,2.8015E+6,2.7000E+6,2.0735E+6,9.8496E+6,9.8827E+6,2.3529E+6,1.4326E+6,3.0337E+6,2.2544E+6,2.0989E+6,2.6981E+6,1.7826E+6,1.0827E+7,2.0570E+6,2.5762E+6,2.2560E+6,1.9815E+6,7.6924E+6,3.3348E+6,3.4181E+6,1.8547E+6,2.3871E+6,2.4032E+6,1.8237E+6,2.2319E+6,9.1472E+6,3.9551E+6,2.7308E+6,1.0219E+7
sp|P14210|HGF_HUMAN,Hepatocyte growth factor OS=Homo sapiens OX=9606 GN=HGF PE=1 SV=2,HGF,3.1231E+3,1.4875E+3,5.6020E+3,7.6087E+2,3.2986E+3,8.1943E+3,8.4239E+2,1.0494E+3,1.7534E+3,4.2537E+3,3.5680E+3,2.8807E+3,2.4389E+3,5.2105E+3,3.8975E+3,1.5046E+3,5.4125E+2,1.2004E+3,4.3163E+2,2.5789E+3,1.7910E+3,2.3853E+3,3.9546E+3,1.8602E+3,1.0585E+3,1.5484E+3,2.5550E+3,2.6072E+3,1.3773E+3,4.4356E+3,1.2156E+3,6.8226E+3,3.5722E+3,6.5120E+3,2.5939E+3,2.2371E+3,1.1806E+3,2.1259E+3,5.0167E+3,1.1029E+3,1.1262E+3,1.3621E+3,5.1044E+3,4.9242E+3,4.5414E+3,4.9686E+3,4.2260E+3,5.0144E+3
sp|P49821|NDUV1_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4",NDUFV1,1.5616E+3,3.6124E+3,1.6538E+3,2.1207E+3,6.0661E+2,1.5899E+3,1.2237E+3,4.4423E+3,3.5023E+3,3.4940E+3,2.3858E+3,2.7049E+3,2.6757E+3,1.7015E+3,3.4760E+3,4.1700E+3,1.8122E+3,1.6635E+5,2.3607E+3,1.8360E+3,2.4820E+3,2.6838E+3,5.0141E+3,1.6627E+5,2.6295E+3,2.3501E+3,1.9043E+3,1.3538E+3,1.9448E+3,4.3533E+3,7.5899E+2,5.3471E+3,6.4264E+3,3.5268E+3,3.7098E+3,3.7850E+3,1.5095E+5,6.6156E+3,4.4726E+3,3.2220E+3,1.4874E+3,2.0901E+3,1.4958E+3,2.2849E+3,1.6769E+5,4.8231E+3,2.3533E+3,6.8067E+3
sp|P54819|KAD2_HUMAN,"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2",AK2,1.6352E+4,1.3642E+4,1.4560E+4,1.3485E+4,1.1764E+4,1.3549E+4,1.5180E+4,1.2406E+4,1.3608E+4,6.6506E+3,1.5206E+4,1.9512E+4,1.4877E+4,6.8183E+3,2.1312E+4,6.0188E+3,8.4136E+3,1.7063E+4,1.5373E+4,7.8062E+3,9.1144E+3,1.7751E+4,1.5169E+4,2.1652E+4,1.1804E+4,1.2505E+4,5.9671E+3,1.4704E+4,6.7238E+3,9.1378E+3,1.9909E+4,2.0296E+4,1.1567E+4,1.8614E+4,1.3169E+4,2.1478E+4,2.5190E+4,1.3883E+4,1.2369E+4,1.1022E+4,1.4350E+4,9.7394E+3,8.1133E+3,9.5929E+3,1.9445E+4,1.5190E+4,1.7599E+4,2.2188E+4
sp|P84243|H33_HUMAN / sp|Q71DI3|H32_HUMAN / sp|P68431|H31_HUMAN / sp|Q16695|H31T_HUMAN,"Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2
Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3
Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2
Histone H3.1t OS=Homo sapiens OX=9606 GN=H3-4 PE=1 SV=3",H3-3A / H3C15 / H3C1 / H3-4,8.0862E+5,1.6824E+6,1.3260E+5,2.4385E+4,1.0874E+5,2.0871E+4,2.4606E+4,1.0864E+5,2.9072E+4,5.0001E+4,1.6093E+5,4.0000E+4,2.2217E+4,3.6361E+4,4.4550E+4,1.4017E+5,2.1470E+4,4.1476E+5,2.9953E+4,1.7286E+4,2.8043E+4,2.8287E+4,1.7550E+6,4.8707E+5,1.9071E+4,2.0285E+4,2.2355E+5,2.1764E+4,1.5232E+4,3.6563E+6,1.1161E+5,1.6150E+6,9.5286E+5,2.2375E+4,1.6289E+4,2.6236E+4,3.8517E+5,4.0757E+4,6.7978E+4,1.6293E+4,1.4171E+5,1.5838E+4,4.9919E+4,4.5885E+4,4.2962E+5,2.2529E+4,8.1728E+4,1.4092E+6
sp|Q3V5L5|MGT5B_HUMAN,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B OS=Homo sapiens OX=9606 GN=MGAT5B PE=1 SV=2",MGAT5B,1.8940E+3,4.0900E+3,1.3558E+4,3.3961E+3,7.3397E+3,6.7556E+3,4.2356E+3,1.0658E+3,4.8770E+3,3.3934E+3,8.7419E+3,9.3628E+3,1.0231E+4,6.7542E+3,8.2298E+3,5.5001E+3,6.5725E+3,3.0918E+3,6.3217E+3,3.0311E+3,9.2402E+3,1.0564E+4,3.9465E+3,2.6157E+3,5.0058E+3,4.7715E+3,4.9590E+3,5.9037E+3,5.7630E+3,1.4181E+4,2.6040E+3,4.4902E+3,5.8040E+3,1.2440E+4,8.3056E+3,9.3391E+3,1.6756E+3,1.0630E+4,6.8096E+3,2.5213E+3,8.1269E+3,7.9906E+3,8.4720E+3,1.1617E+3,2.4287E+3,8.0260E+3,1.4687E+4,3.5102E+3
sp|Q7Z5L0|VMO1_HUMAN,Vitelline membrane outer layer protein 1 homolog OS=Homo sapiens OX=9606 GN=VMO1 PE=1 SV=1,VMO1,2.0193E+5,5.0974E+5,5.3146E+5,1.8392E+5,3.6712E+5,2.4847E+5,3.3497E+5,1.8939E+5,2.8106E+5,2.8093E+5,3.5400E+5,5.3292E+5,1.8341E+5,3.1490E+5,3.1493E+5,2.6200E+5,3.2141E+5,2.7022E+5,2.5122E+5,2.7933E+5,4.0874E+5,2.7020E+5,5.4520E+5,2.8719E+5,4.2938E+5,2.1561E+5,2.5151E+5,3.8586E+5,4.6897E+5,1.8038E+5,3.1878E+5,5.0236E+5,3.1956E+5,1.8180E+5,4.1728E+5,3.7321E+5,2.5848E+5,2.2803E+5,3.2346E+5,1.8441E+5,3.4434E+5,2.0664E+5,1.9777E+5,4.3635E+5,2.7788E+5,3.4782E+5,5.1471E+5,4.5304E+5
sp|Q93084|AT2A3_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3,ATP2A3,5.4222E+2,7.5644E+2,0.0000E+0,1.5874E+2,5.5370E+2,1.5749E+3,0.0000E+0,4.2651E+2,6.2189E+2,1.0346E+3,7.0036E+2,1.1738E+3,6.5135E+3,6.3754E+2,0.0000E+0,1.2094E+3,4.2239E+2,1.1477E+3,4.0558E+2,0.0000E+0,5.6741E+2,1.2168E+3,2.4406E+3,1.7225E+3,1.3442E+3,0.0000E+0,7.4812E+2,6.3874E+2,0.0000E+0,4.0927E+2,2.7765E+2,1.7383E+3,3.5219E+2,4.4239E+2,1.0970E+2,3.4035E+2,2.4043E+3,8.3438E+2,6.4963E+2,3.4703E+2,1.1553E+3,7.4039E+2,5.6786E+2,8.3911E+2,9.0873E+2,8.1459E+2,6.9052E+2,8.6783E+2
sp|Q96GW7|PGCB_HUMAN,Brevican core protein OS=Homo sapiens OX=9606 GN=BCAN PE=1 SV=2,BCAN,4.0404E+7,4.0856E+7,6.0023E+7,3.1434E+7,4.8377E+7,5.4722E+7,3.4842E+7,4.6558E+7,5.5524E+7,2.7520E+7,4.3967E+7,6.3507E+7,4.4433E+7,4.9734E+7,5.4646E+7,4.6000E+7,6.3093E+7,2.0561E+7,3.6685E+7,5.6976E+7,6.6459E+7,4.4555E+7,5.0554E+7,2.2822E+7,3.5749E+7,3.2792E+7,4.1753E+7,5.3882E+7,3.8972E+7,7.2563E+7,3.1904E+7,5.3354E+7,3.9357E+7,7.2386E+7,4.3294E+7,5.0683E+7,1.7447E+7,5.9988E+7,5.1247E+7,3.2334E+7,3.6544E+7,3.6996E+7,3.2931E+7,3.4152E+7,2.0041E+7,6.4053E+7,6.1448E+7,4.4841E+7
sp|Q9UJJ9|GNPTG_HUMAN,N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens OX=9606 GN=GNPTG PE=1 SV=1,GNPTG,3.2953E+6,1.9992E+6,2.8692E+6,2.7004E+6,3.2331E+6,2.8421E+6,2.6573E+6,2.9583E+6,3.4969E+6,2.4163E+6,2.7396E+6,3.1876E+6,2.1962E+6,2.6517E+6,2.2722E+6,2.3705E+6,3.5881E+6,6.6738E+5,2.5297E+6,3.4739E+6,3.8977E+6,3.1818E+6,2.4449E+6,1.0654E+6,2.6182E+6,2.8666E+6,3.0256E+6,2.9855E+6,2.4123E+6,2.4897E+6,3.0807E+6,3.2438E+6,2.2926E+6,3.3402E+6,3.1912E+6,3.6260E+6,7.9090E+5,2.8374E+6,2.6664E+6,2.8983E+6,2.1449E+6,2.5339E+6,2.7261E+6,2.6959E+6,9.2028E+5,2.8865E+6,3.8402E+6,2.4158E+6
sp|Q9ULB4|CADH9_HUMAN,Cadherin-9 OS=Homo sapiens OX=9606 GN=CDH9 PE=1 SV=2,CDH9,1.2082E+5,1.4344E+5,1.8193E+5,1.5079E+5,2.0933E+5,1.5623E+5,1.7904E+5,1.2500E+5,2.2639E+5,1.1294E+5,1.7644E+5,1.5167E+5,1.1254E+5,1.3482E+5,2.0061E+5,1.6640E+5,1.2055E+5,4.0725E+5,1.4084E+5,1.4711E+5,1.7363E+5,1.8976E+5,1.6669E+5,4.1440E+5,7.6479E+4,1.5103E+5,1.6984E+5,1.9466E+5,1.3719E+5,2.3581E+5,1.5527E+5,1.8819E+5,8.1776E+4,2.3257E+5,1.4399E+5,1.5750E+5,3.3552E+5,1.2185E+5,9.6089E+4,1.1313E+5,1.4568E+5,9.3673E+4,1.0591E+5,1.3618E+5,4.1533E+5,2.1070E+5,2.3363E+5,1.8489E+5
sp|Q9UN74|PCDA4_HUMAN,Protocadherin alpha-4 OS=Homo sapiens OX=9606 GN=PCDHA4 PE=1 SV=1,PCDHA4,6.4592E+4,1.0422E+5,8.9270E+4,8.3802E+4,8.8715E+4,1.0894E+5,8.9463E+4,7.2505E+4,8.4764E+4,7.4654E+4,9.7808E+4,8.6049E+4,5.8787E+4,8.3292E+4,9.9762E+4,8.2363E+4,1.1442E+5,4.6307E+4,6.7653E+4,7.7867E+4,1.0941E+5,1.1175E+5,1.1224E+5,5.6582E+4,7.6925E+4,7.1680E+4,1.0386E+5,8.0440E+4,9.3531E+4,1.3455E+5,6.6886E+4,1.3258E+5,6.4095E+4,1.6395E+5,8.3321E+4,8.3636E+4,2.5174E+4,8.6645E+4,7.7897E+4,6.2786E+4,7.2549E+4,7.1883E+4,6.7580E+4,7.5116E+4,3.4182E+4,9.6435E+4,1.6683E+5,9.9704E+4
sp|Q9Y5H3|PCDGA_HUMAN,Protocadherin gamma-A10 OS=Homo sapiens OX=9606 GN=PCDHGA10 PE=1 SV=1,PCDHGA10,1.8841E+5,1.6579E+5,2.5124E+5,1.3599E+5,2.2003E+5,2.0604E+5,2.1380E+5,1.8785E+5,2.1499E+5,1.4888E+5,1.9764E+5,1.6531E+5,1.6633E+5,1.7883E+5,2.6108E+5,1.8834E+5,2.0012E+5,1.2769E+5,1.7820E+5,2.1043E+5,2.6073E+5,1.9679E+5,1.7889E+5,1.2712E+5,1.7691E+5,1.8631E+5,1.7334E+5,2.2407E+5,2.0596E+5,2.4766E+5,1.6401E+5,1.5329E+5,1.8324E+5,2.2916E+5,1.9817E+5,1.8943E+5,1.0183E+5,2.4434E+5,1.6098E+5,1.6692E+5,1.6087E+5,1.3746E+5,1.3486E+5,1.5247E+5,1.3535E+5,2.2153E+5,2.7127E+5,2.3322E+5
sp|O00548|DLL1_HUMAN,Delta-like protein 1 OS=Homo sapiens OX=9606 GN=DLL1 PE=1 SV=2,DLL1,2.1350E+4,2.0967E+4,3.4989E+4,1.9898E+4,2.5320E+4,2.8086E+4,2.3852E+4,2.2846E+4,3.4549E+4,1.9092E+4,2.7423E+4,2.2921E+4,4.9016E+4,2.6216E+4,2.6287E+4,1.9718E+4,3.9878E+4,2.4316E+4,2.7702E+4,2.1611E+4,2.2393E+4,1.1981E+4,4.4546E+4,3.2898E+4,4.6565E+4,2.6905E+4,1.9229E+4,2.1819E+4,2.1289E+4,3.3657E+4,1.2559E+4,2.0943E+4,1.5299E+4,4.1025E+4,2.1438E+4,2.7286E+4,4.3389E+4,1.7260E+4,1.3960E+4,1.5618E+4,1.5524E+4,8.1599E+3,2.9881E+4,1.7641E+4,2.7312E+4,2.8317E+4,3.4783E+4,2.7397E+4
sp|O43155|FLRT2_HUMAN,Leucine-rich repeat transmembrane protein FLRT2 OS=Homo sapiens OX=9606 GN=FLRT2 PE=1 SV=1,FLRT2,2.2350E+4,2.6946E+4,2.0785E+4,1.2240E+4,1.6831E+4,2.7008E+4,1.6873E+4,2.0090E+4,2.2900E+4,1.6705E+4,1.6519E+4,1.8744E+4,2.0817E+4,1.3269E+4,1.7943E+4,2.3465E+4,2.2078E+4,1.2599E+4,1.5443E+4,2.1004E+4,2.7240E+4,1.6902E+4,2.5983E+4,1.4820E+4,1.6147E+4,1.4062E+4,2.1837E+4,2.1857E+4,2.7202E+4,2.3202E+4,1.5279E+4,3.0696E+4,2.4050E+4,1.9322E+4,2.3141E+4,1.1302E+4,1.6233E+4,2.0190E+4,2.0978E+4,1.3389E+4,1.1027E+4,1.1765E+4,1.7090E+4,1.3126E+4,1.4061E+4,1.7885E+4,3.1674E+4,2.1414E+4
